decision_ts,spot_trade_count,spot_quote_volume,spot_taker_buy_base,spot_taker_buy_quote,spot_taker_imbalance,perp_trade_count,perp_quote_volume,perp_taker_buy_base,perp_taker_buy_quote,perp_taker_imbalance,spot_perp_basis,spot_perp_return_divergence
2024-01-01 00:15:00+00:00,16651.0,18304686.5025287,248.76854,10546051.8272245,0.1522788795937713,33868.0,153504740.53706,2363.415,100262984.53216,0.3063177616713919,0.0010468064540577343,
2024-01-01 00:30:00+00:00,13332.0,16661864.0554009,175.52066,7456565.7919414,-0.10495419154204744,24805.0,98737115.9002,1092.697,46473003.93749,-0.05865178431050633,0.0009135440900766519,-0.00013326236398114588
2024-01-01 00:45:00+00:00,10959.0,13564090.7936664,192.00027,8140643.8154153,0.20032281400187668,19365.0,71461033.3652,804.779,34149064.6554,-0.04426054180095673,0.000781479862965936,-0.00013206422711142807
2024-01-01 01:00:00+00:00,6192.0,5426607.622193,66.28634,2814155.3850638,0.03716928917242912,10240.0,35493455.2847,427.085,18148753.699,0.022653531668036964,0.0006653429874248095,-0.00011613687554046237
2024-01-01 01:15:00+00:00,7256.0,8013008.2346216,115.17425,4889171.13798,0.22030852704118864,10626.0,36122792.5434,367.988,15632365.5315,-0.13448742852765994,0.0007360770955831862,7.073410815827685e-05
2024-01-01 01:30:00+00:00,6580.0,6479987.3215816,79.93483,3396535.132996,0.04831536373036971,11148.0,35144363.3367,457.667,19463152.0924,0.10761159085077665,0.0007443133535717819,8.23625798851424e-06
2024-01-01 01:45:00+00:00,27425.0,27421003.4342283,416.33769,17764503.5247626,0.2956858830766227,49464.0,230248653.24548,3200.805,136731699.22648,0.1876872876272877,0.0008615059562377724,0.00011719260266573883
2024-01-01 02:00:00+00:00,9135.0,9070894.3577101,100.8755,4305435.5525378,-0.050714211244615504,19113.0,84454260.09678,757.378,32353365.8734,-0.23382513004495464,0.0008055222572271297,-5.598369900994271e-05
2024-01-01 02:15:00+00:00,9641.0,9251891.0785989,81.26749,3459797.9737715,-0.2520884769656304,16722.0,67352566.16,633.253,26984202.5762,-0.19871790743362516,0.000870695447496992,6.517319026855262e-05
2024-01-01 02:30:00+00:00,5666.0,5926841.6864165,51.8842,2207398.9763219,-0.25511795552732497,8697.0,34256364.72109,373.711,15914340.3236,-0.07086811731647025,0.0006952406372925604,-0.00017545481020420084
2024-01-01 02:45:00+00:00,7199.0,8222640.1057391,92.24456,3927365.5386012,-0.04474341863508202,12877.0,48226462.1057,540.509,23031894.3971,-0.04484412119553727,0.0009505128961435913,0.0002552722588511358
2024-01-01 03:00:00+00:00,7357.0,5766005.102483,63.59239,2706454.8110674,-0.06123745540845027,14254.0,48385248.3554,593.786,25290338.4314,0.04537392246649441,0.0009225190351617662,-2.7993860982178376e-05
2024-01-01 03:15:00+00:00,7426.0,7197704.4604077,80.82129,3439265.7782284,-0.044343707873332416,12908.0,45005147.2346,335.802,14301345.2738,-0.3644573497670901,0.0008455960144755229,-7.692302068385004e-05
2024-01-01 03:30:00+00:00,8860.0,7466574.1955658,70.00553,2972307.5040993,-0.20383634415245633,19317.0,71550284.97203,670.452,28491678.3013,-0.20359008178827542,0.0008817809860484464,3.618497157198419e-05
2024-01-01 03:45:00+00:00,12967.0,8434262.659075,72.78606,3084359.5665206,-0.2686119246708716,29762.0,135579734.39537,1250.926,53005547.6375,-0.21809040453010176,0.0007020811878614377,-0.00017969979818666104
2024-01-01 04:00:00+00:00,9367.0,10610508.9590651,132.75921,5617063.5270016,0.058773626914975674,22358.0,92287288.2668,1243.952,52673983.3261,0.14152196505809056,0.000928214125887915,0.0002261329380264243
2024-01-01 04:15:00+00:00,7991.0,6677963.6322149,72.46281,3068413.2834831,-0.08103324532020839,15961.0,76419012.0793,788.355,33408514.6927,-0.1256491340654342,0.0008769431884465753,-5.127093744050626e-05
2024-01-01 04:30:00+00:00,12132.0,11042701.8460199,146.7933,6204902.2928103,0.12380147165645372,25193.0,103623078.124,1127.017,47675433.7928,-0.07982980903637216,0.0008389812269498232,-3.7961961499632935e-05
2024-01-01 04:45:00+00:00,7706.0,6484681.4798312,59.21548,2506113.5444512,-0.22706657150524057,12376.0,44638020.8769,572.51,24250579.9128,0.08654368793261513,0.0008580378015788319,1.90565746294169e-05
